id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
725779,Luminous double room in BCN!,3754260,Lisandro,Sant Andreu,Navas,41.416722868946444,2.1866062119496608,Private room,41,4,59,2018-08-26,0.90,1,352
728480,Cosy Apartment Hospital Clinic,2201772,Dimitry,Eixample,l'Antiga Esquerra de l'Eixample,41.38868844402383,2.1514361705670555,Entire home/apt,450,3,14,2018-06-17,0.20,8,365
729078,In the heart of Barcelona,3786292,Flavio,Ciutat Vella,el Raval,41.37768382327143,2.1726186743192826,Entire home/apt,69,1,229,2018-09-18,3.35,1,137
730467,2 bdr Apartment nearby La Ramblas,10704,Weflating,Eixample,Sant Antoni,41.37597770966902,2.1629318740973003,Entire home/apt,81,3,13,2017-06-19,0.25,74,283
731225,Double bedroom with balcony in Barcelona center.,3804525,Nahor Alexander,Ciutat Vella,el Raval,41.376667501903874,2.1671143941275943,Private room,41,2,143,2018-10-06,3.07,2,18
732214,Barcelona beach apartment WIFI,3811607,Cesc,Ciutat Vella,la Barceloneta,41.37524452589659,2.190113184316471,Entire home/apt,46,31,126,2018-10-04,2.03,1,252
732671,GASTRONOMIC Flat - For food lovers,3815217,Sara,Eixample,Sant Antoni,41.37632584931872,2.159481932229859,Entire home/apt,130,3,87,2018-10-04,1.23,1,307
733941,2 bedrs Sweet Montjuic Apartment,10704,Weflating,Sants-Montjuïc,el Poble Sec,41.37401174683647,2.167963956188287,Entire home/apt,75,3,31,2018-09-22,0.47,74,208
735165,4 bdr Calm appartment in Eixample,10704,Weflating,Eixample,l'Antiga Esquerra de l'Eixample,41.388682778606814,2.161074369446154,Entire home/apt,95,32,1,2015-05-19,0.02,74,176
735311,4 DOUBLE ROOMS ON GASPATX,3378062,Antonio,Horta-Guinardó,Horta,41.44003513354938,2.1585289156368215,Private room,40,2,50,2018-08-20,0.72,5,352
735587,Charming Bedroom on GASPATX B&b,3378062,Antonio,Horta-Guinardó,Horta,41.44001421386121,2.159428104945984,Private room,40,2,77,2018-09-14,1.19,5,338
735620,charming double room in Gaspatx B&B,3378062,Antonio,Horta-Guinardó,Horta,41.43980195482742,2.1578916845846887,Private room,40,2,83,2018-09-18,1.15,5,353
735631,Bedroom on GASPATX B&B,3378062,Antonio,Horta-Guinardó,Horta,41.44004634110656,2.1600231272707338,Private room,40,2,89,2018-09-20,1.26,5,345
739174,FEEL AT HOME IN BARCELONA!,3374504,Diana,Sant Martí,el Camp de l'Arpa del Clot,41.41448502367022,2.185060430251027,Private room,18,2,25,2015-06-10,0.34,2,282
739557,APARTAMENTO ZONA SAGRADA FAMILIA,3868307,Maria,Eixample,la Dreta de l'Eixample,41.39931393334041,2.1707706352736933,Entire home/apt,160,2,5,2018-10-05,0.07,1,123
740113,"Sunny apartment, 10 min. Ramblas  HUTB-004435",3193594,Jan,Eixample,Sant Antoni,41.37720437980362,2.163107943092494,Entire home/apt,45,32,0,,,6,109
740362,"Bedroom in a big house with ""patio""",3726119,Lía (Rosalía),Sant Martí,Provençals del Poblenou,41.41315856603945,2.207593587800247,Private room,20,3,18,2018-08-23,0.43,1,176
742156,"Apartment with BALCONY,  FREE WIFI",3678711,Joan,Gràcia,Vallcarca i els Penitents,41.4100036875037,2.146318618236803,Entire home/apt,38,1,73,2018-01-03,1.02,8,71
742241,BIG apartment with GREAT COURTYARD,3678711,Joan,Gràcia,Vallcarca i els Penitents,41.40802278868858,2.1482160432686324,Entire home/apt,38,1,24,2018-06-28,0.41,8,72
742257,Charming studio in city centre,10704,Weflating,Ciutat Vella,el Raval,41.37889080219101,2.1703567761810465,Entire home/apt,60,60,9,2015-01-04,0.13,74,191
742820,Excellent Flat in Sagrada Familia,3889607,Carla,Eixample,la Sagrada Família,41.405231833944356,2.178931452304204,Entire home/apt,100,1,274,2018-09-24,3.77,1,290
744153,Barcelona close to Sagrada Familia,3899934,Lluís,Eixample,la Dreta de l'Eixample,41.39760275253621,2.175026479021735,Entire home/apt,45,3,337,2018-10-02,4.66,1,134
745220,In the TRENDIEST district with WIFI,3678711,Joan,Gràcia,Vallcarca i els Penitents,41.409973941425044,2.147068006940809,Entire home/apt,38,1,36,2017-08-10,0.57,8,75
745275,BIG SUNNY apartment with FREE WIFI,3678711,Joan,Gràcia,Vallcarca i els Penitents,41.40843643991721,2.147809105671374,Entire home/apt,38,1,33,2018-03-01,0.51,8,19
745829,Lovely & Ideal 4 families & groups,299462,Stay U-Nique,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39460419454772,2.1512703295507514,Entire home/apt,200,4,104,2018-10-07,1.98,76,339
746713,Bright room with double bed in Gran de Gràcia (3),1503151,Laia,Gràcia,la Vila de Gràcia,41.39956041238476,2.1561029618266296,Private room,25,30,0,,,84,251
747081,Cozy rooms in Guest House,3920790,Carla,Eixample,la Dreta de l'Eixample,41.39543355601083,2.1692599156838535,Private room,135,1,0,,,1,364
747274,Familiar Eixample Rambla,3922188,Marta,Eixample,l'Antiga Esquerra de l'Eixample,41.391443437519655,2.1581762413404384,Entire home/apt,150,2,132,2018-10-04,1.83,1,295
748693,Two beds- Ramblas- Charming,3102808,Carlos Y Reyes,Ciutat Vella,el Raval,41.381026556960215,2.1658222472115902,Private room,32,3,148,2018-10-06,2.18,2,357
